,rd,alpha,Fs,nNodes,d_intersensor,x,y,z,Node1Sensor1,Node1Sensor2,Node1Sensor3,Node1Sensor4,Node1Sensor5,Node1Sensor6,Node1Sensor7,Node1Sensor8,Node1Sensor9,Node1Sensor10,Node2Sensor1,Node2Sensor2,Node2Sensor3,Node2Sensor4,Node2Sensor5,Node2Sensor6,Node2Sensor7,Node2Sensor8,Node2Sensor9,Node2Sensor10,Node3Sensor1,Node3Sensor2,Node3Sensor3,Node3Sensor4,Node3Sensor5,Node3Sensor6,Node3Sensor7,Node3Sensor8,Node3Sensor9,Node3Sensor10,Node4Sensor1,Node4Sensor2,Node4Sensor3,Node4Sensor4,Node4Sensor5,Node4Sensor6,Node4Sensor7,Node4Sensor8,Node4Sensor9,Node4Sensor10
Sensor 11,,,,,,3.6573547005463665,1.039029272328014,5.850970381825272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor 12,,,,,,3.657889386413546,1.0575489047931408,5.844261573479046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor 13,,,,,,3.6498445241739197,1.0954883746641328,5.840893614328414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor 14,,,,,,3.706884598358141,1.0703847858962656,5.843979173336756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor 15,,,,,,3.707818707276816,1.0341988024667004,5.831620843042551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor 16,,,,,,3.649268876033555,1.0340891944988544,5.8915459683078355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor 17,,,,,,3.639918629789507,1.0967801055888218,5.865933107997894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor 18,,,,,,3.693670884704154,1.0405832959317212,5.840959955373182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor 19,,,,,,3.6328026779439617,1.0302770413580544,5.91006373772106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor 20,,,,,,3.672704855050602,1.0261356299660578,5.847078075684064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor 21,,,,,,2.636461579450392,0.3795764498394325,2.7399548439061627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor 22,,,,,,2.595160208022137,0.40992786236310697,2.7180935280996295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor 23,,,,,,2.5867329612277583,0.387382720354392,2.6932878776421294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor 24,,,,,,2.5611991660096822,0.4509749146741269,2.6969022013785415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor 25,,,,,,2.5916071157436518,0.3970153527854515,2.71943464419742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor 26,,,,,,2.610086363928507,0.3600990929610043,2.727017568878239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor 27,,,,,,2.5928865896654796,0.36475994790276584,2.7610370154282107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor 28,,,,,,2.558612672590876,0.36848404414778485,2.7841001644105647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor 29,,,,,,2.575345657859203,0.41259742233838786,2.727332936112656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor 30,,,,,,2.5747637534774888,0.3757874473439427,2.710564765262583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor 31,,,,,,3.427043940231347,2.9576561982479723,1.9774647202272957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor 32,,,,,,3.4333162440593674,2.9407568411720746,1.987275778480791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor 33,,,,,,3.4526202034942597,2.9956440380409375,1.9827159873381797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor 34,,,,,,3.4592855039069175,2.9403688275624957,2.012965556315285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor 35,,,,,,3.4199329815305064,2.948029887611322,1.9910742019055554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor 36,,,,,,3.418694956805508,2.9900108754047414,2.036008372654142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor 37,,,,,,3.4501071835606223,2.9296928027089195,2.0141923749027426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor 38,,,,,,3.4326878967869576,2.9687297737871248,2.007972355736294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor 39,,,,,,3.4626195527225714,2.966025881545831,1.9815953191336095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor 40,,,,,,3.4651340060435367,2.963435570838748,2.0185903498505815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,-9.618395777453995e-07,0.0,0.0,-6.804145287313613e-07,0.0,0.0,-1.3237930220081313e-08,-3.320410158697203e-09,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0,8.595449746241683e-06,0.0,0.0,7.586530369272614e-06,0.0,-1.290406853550461e-06,1.4764462581668262e-06,8.70603339818637e-07,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,-6.922923241211257e-07,-2.475154597858251e-05,0.0,0.0,-2.280436561646417e-05,-9.583483464181489e-07,9.044864574856349e-06,-5.608158744092858e-06,-3.4254106313362e-06,-1.3729120357115383e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,7.550747571550315e-06,5.0572572844503925e-05,-5.613071203666844e-07,-1.0359849593332938e-06,4.745384773239607e-05,4.5384052642076485e-06,-2.4671256271395175e-05,1.2776676938824194e-05,7.901372059058205e-06,8.774354727837523e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,-2.260563457067195e-05,-8.72942522965432e-05,6.9074328244437205e-06,4.9967674906184244e-06,-8.274385850043058e-05,-1.112452852993221e-05,4.921764102897649e-05,-2.3376322129922408e-05,-1.4548395072181652e-05,-2.3393101213085203e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,4.6960826298460764e-05,0.00013629457747578252,-2.1127399920826225e-05,-1.231700517630707e-05,0.0001300188358156545,2.1111179686211357e-05,-8.38209947696763e-05,3.784087287777581e-05,2.36410534444808e-05,4.618718817618997e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,-8.180809313367701e-05,-0.00019916988299798126,4.428427427560612e-05,2.3437881232976882e-05,-0.00019083119823754888,-3.492943016310981e-05,0.00012975406436502014,-5.666456014550367e-05,-3.549170421894943e-05,-7.819736532406165e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.00012847316223599839,0.0002778525610738159,-7.752467546692172e-05,-3.8841310126035065e-05,0.0002670533907373158,5.306636883130074e-05,-0.00018849803353199882,8.043454314618694e-05,5.047077912056681e-05,0.00012059073834590332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,-0.00018848729271094946,-0.0003747950112499991,0.00012212250280867624,5.907152344103864e-05,-0.00036105276717512047,-7.609514508049636e-05,0.00026185502594457696,-0.00010988138243845444,-6.903830756873188e-05,-0.0001747284243713604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0002636980094891382,0.0004932630566151223,-0.0001795469171309085,-8.476848769443731e-05,0.0004759699912049097,0.00010472156337870814,-0.0003521242175211025,0.00014595876950436424,9.179366965902926e-05,0.00024227032655437607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,-0.0003564419561482554,-0.0006378184356429339,0.0002515675052125605,0.00011671972638058988,-0.0006161755778283683,-0.00013985736015194168,0.00046238355668342816,-0.00018997283786209115,-0.00011955618908024502,-0.00032533928646540767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.00046982011326109535,0.000815145002613173,-0.0003404183507494936,-0.00015594179415781068,0.0007880488675704727,0.00018273826859355877,-0.0005969548532958966,0.00024379963229468406,0.0001535004480859466,0.0004267840263315439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,-0.000608149232006295,-0.0010355386209611682,0.00044905903064939434,0.00020381149136617258,-0.0010013764044487458,-0.0002351208396671814,0.000762204249693075,-0.00031026838943199906,-0.00019539427591449838,-0.000550614036950154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.0007777323392689784,0.0013157758402254484,-0.0005816021721330107,-0.0002622844768861601,0.0012720289699130493,0.0002996254643357659,-0.0009679950678245546,0.0003938783994759029,0.0002480426886967182,0.0007027498474068257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,-0.0009882424733350962,-0.0016851206800553868,0.0007440419896874444,0.0003342759806221442,-0.0016275255720031624,-0.00038036890487864626,0.001230508193620019,-0.0005022449936842096,-0.0003161803321482526,-0.0008923888538572095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_sn1,,,,,,,,,0.001255373049600467,0.0021993716115491454,-0.0009455598868999106,-0.0004243621621769144,0.002119916025801507,0.0004842172558396549,-0.0015782108504910587,0.0006493169995099278,0.0004084483913982419,0.0011346669215752958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
